Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.808828, train acc: 0.425794, train avg acc: 0.252572
Test 0, loss: 2.201586, test acc: 0.602512, test avg acc: 0.460430
Train 1, loss: 2.196770, train acc: 0.639556, train avg acc: 0.464033
Test 1, loss: 1.959165, test acc: 0.733793, test avg acc: 0.616948
Train 2, loss: 2.033430, train acc: 0.708978, train avg acc: 0.553654
Test 2, loss: 1.876023, test acc: 0.794976, test avg acc: 0.678965
Train 3, loss: 1.942858, train acc: 0.749186, train avg acc: 0.613826
Test 3, loss: 1.853992, test acc: 0.790113, test avg acc: 0.671959
Train 4, loss: 1.883111, train acc: 0.777993, train avg acc: 0.660294
Test 4, loss: 1.762901, test acc: 0.811994, test avg acc: 0.713494
Train 5, loss: 1.845021, train acc: 0.794788, train avg acc: 0.680465
Test 5, loss: 1.755615, test acc: 0.805511, test avg acc: 0.731831
Train 6, loss: 1.803773, train acc: 0.809752, train avg acc: 0.705623
Test 6, loss: 1.729993, test acc: 0.844814, test avg acc: 0.757174
Train 7, loss: 1.787953, train acc: 0.816164, train avg acc: 0.714275
Test 7, loss: 1.665696, test acc: 0.850486, test avg acc: 0.794198
Train 8, loss: 1.764018, train acc: 0.826445, train avg acc: 0.734596
Test 8, loss: 1.650767, test acc: 0.856564, test avg acc: 0.787140
Train 9, loss: 1.748133, train acc: 0.836217, train avg acc: 0.742529
Test 9, loss: 1.628628, test acc: 0.876418, test avg acc: 0.803262
Train 10, loss: 1.732471, train acc: 0.841918, train avg acc: 0.754300
Test 10, loss: 1.651094, test acc: 0.850891, test avg acc: 0.811605
Train 11, loss: 1.714249, train acc: 0.850672, train avg acc: 0.766171
