Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='msg_d0', k=20, lr=0.001, model='msg', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='msg_d0', k=20, lr=0.001, model='msg', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='msg_d0', k=20, lr=0.001, model='msg', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='msg_d0', k=20, lr=0.001, model='ssg', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='msg_d0', k=20, lr=0.001, model='msg', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='msg_d0', k=20, lr=0.001, model='msg', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.785454, train acc: 0.548453, train avg acc: 0.403523
Test 0, loss: 1.921033, test acc: 0.758104, test avg acc: 0.629140
Train 1, loss: 1.872531, train acc: 0.768017, train avg acc: 0.646429
Test 1, loss: 1.824516, test acc: 0.789708, test avg acc: 0.722256
Train 2, loss: 1.783616, train acc: 0.804153, train avg acc: 0.701581
Test 2, loss: 1.795882, test acc: 0.788088, test avg acc: 0.728093
Train 3, loss: 1.719097, train acc: 0.831535, train avg acc: 0.742320
Test 3, loss: 1.754835, test acc: 0.833063, test avg acc: 0.744064
Train 4, loss: 1.680530, train acc: 0.844666, train avg acc: 0.763057
Test 4, loss: 1.644047, test acc: 0.858185, test avg acc: 0.775070
Train 5, loss: 1.655342, train acc: 0.852606, train avg acc: 0.777211
Test 5, loss: 1.738411, test acc: 0.824554, test avg acc: 0.759419
Train 6, loss: 1.633173, train acc: 0.865432, train avg acc: 0.794326
Test 6, loss: 1.663329, test acc: 0.858590, test avg acc: 0.822477
Train 7, loss: 1.614334, train acc: 0.870725, train avg acc: 0.804965
Test 7, loss: 1.650031, test acc: 0.863452, test avg acc: 0.813081
Train 8, loss: 1.604817, train acc: 0.874593, train avg acc: 0.813410
Test 8, loss: 1.663069, test acc: 0.860211, test avg acc: 0.791616
Train 9, loss: 1.596736, train acc: 0.877239, train avg acc: 0.816092
Test 9, loss: 1.614152, test acc: 0.872366, test avg acc: 0.814465
Train 10, loss: 1.579006, train acc: 0.884365, train avg acc: 0.821728
Test 10, loss: 1.610247, test acc: 0.880470, test avg acc: 0.815971
Train 11, loss: 1.571260, train acc: 0.884467, train avg acc: 0.821509
Test 11, loss: 1.639204, test acc: 0.873582, test avg acc: 0.807616
Train 12, loss: 1.559645, train acc: 0.893933, train avg acc: 0.836771
Test 12, loss: 1.615150, test acc: 0.873987, test avg acc: 0.831517
Train 13, loss: 1.560221, train acc: 0.887113, train avg acc: 0.831805
Test 13, loss: 1.595660, test acc: 0.885737, test avg acc: 0.812628
Train 14, loss: 1.552105, train acc: 0.894035, train avg acc: 0.836879
Test 14, loss: 1.613413, test acc: 0.876418, test avg acc: 0.846669
Train 15, loss: 1.550623, train acc: 0.896682, train avg acc: 0.841086
Test 15, loss: 1.587411, test acc: 0.884522, test avg acc: 0.848465
Train 16, loss: 1.542168, train acc: 0.898412, train avg acc: 0.843612
Test 16, loss: 1.578133, test acc: 0.893841, test avg acc: 0.813797
Train 17, loss: 1.531950, train acc: 0.903603, train avg acc: 0.850618
Test 17, loss: 1.623536, test acc: 0.885332, test avg acc: 0.836000
Train 18, loss: 1.530402, train acc: 0.905232, train avg acc: 0.852786
Test 18, loss: 1.608102, test acc: 0.876013, test avg acc: 0.832052
Train 19, loss: 1.526080, train acc: 0.901568, train avg acc: 0.848823
Test 19, loss: 1.602514, test acc: 0.892626, test avg acc: 0.845221
Train 20, loss: 1.522932, train acc: 0.906148, train avg acc: 0.859336
Test 20, loss: 1.581078, test acc: 0.882091, test avg acc: 0.827924
Train 21, loss: 1.520013, train acc: 0.907370, train avg acc: 0.858806
Test 21, loss: 1.561392, test acc: 0.888979, test avg acc: 0.851512
Train 22, loss: 1.517771, train acc: 0.908388, train avg acc: 0.861843
Test 22, loss: 1.576454, test acc: 0.892626, test avg acc: 0.847849
Train 23, loss: 1.515294, train acc: 0.909914, train avg acc: 0.861133
Test 23, loss: 1.567195, test acc: 0.896677, test avg acc: 0.857424
Train 24, loss: 1.510542, train acc: 0.908388, train avg acc: 0.859027
Test 24, loss: 1.564352, test acc: 0.888979, test avg acc: 0.852145
Train 25, loss: 1.507650, train acc: 0.911747, train avg acc: 0.866079
Test 25, loss: 1.591302, test acc: 0.869935, test avg acc: 0.822186
Train 26, loss: 1.507280, train acc: 0.910729, train avg acc: 0.864407
Test 26, loss: 1.577316, test acc: 0.889789, test avg acc: 0.850035
Train 27, loss: 1.504514, train acc: 0.915004, train avg acc: 0.867362
Test 27, loss: 1.589799, test acc: 0.880875, test avg acc: 0.835320
Train 28, loss: 1.502622, train acc: 0.914088, train avg acc: 0.867927
Test 28, loss: 1.658403, test acc: 0.859400, test avg acc: 0.829703
Train 29, loss: 1.500482, train acc: 0.910627, train avg acc: 0.865171
Test 29, loss: 1.543592, test acc: 0.899109, test avg acc: 0.857814
Train 30, loss: 1.497287, train acc: 0.916022, train avg acc: 0.870528
Test 30, loss: 1.660310, test acc: 0.851702, test avg acc: 0.820006
Train 31, loss: 1.501331, train acc: 0.915208, train avg acc: 0.871697
Test 31, loss: 1.569808, test acc: 0.888574, test avg acc: 0.833727
Train 32, loss: 1.489189, train acc: 0.919788, train avg acc: 0.879813
Test 32, loss: 1.704708, test acc: 0.829822, test avg acc: 0.792727
Train 33, loss: 1.495395, train acc: 0.918058, train avg acc: 0.878062
Test 33, loss: 1.551241, test acc: 0.888979, test avg acc: 0.836802
Train 34, loss: 1.496642, train acc: 0.913884, train avg acc: 0.870246
Test 34, loss: 1.674770, test acc: 0.858590, test avg acc: 0.832436
