Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 0, loss: 7.570513, train acc: 0.071967, train avg acc: 0.038301
Test 0, loss: 3.873887, test acc: 0.086710, test avg acc: 0.053500
Train 1, loss: 5.382500, train acc: 0.119503, train avg acc: 0.060783
Test 1, loss: 3.630635, test acc: 0.186386, test avg acc: 0.115000
Train 2, loss: 3.658900, train acc: 0.203074, train avg acc: 0.102254
Test 2, loss: 2.850310, test acc: 0.333468, test avg acc: 0.223785
Train 3, loss: 2.977799, train acc: 0.344564, train avg acc: 0.191848
Test 3, loss: 2.576789, test acc: 0.450567, test avg acc: 0.327343
Train 4, loss: 2.728047, train acc: 0.437500, train avg acc: 0.266882
Test 4, loss: 2.345673, test acc: 0.552269, test avg acc: 0.426599
Train 5, loss: 2.547551, train acc: 0.501629, train avg acc: 0.330489
Test 5, loss: 2.246768, test acc: 0.599676, test avg acc: 0.492250
Train 6, loss: 2.420794, train acc: 0.546519, train avg acc: 0.380636
Test 6, loss: 2.107831, test acc: 0.693679, test avg acc: 0.578791
Train 7, loss: 2.306066, train acc: 0.600265, train avg acc: 0.440051
Test 7, loss: 2.095779, test acc: 0.672609, test avg acc: 0.564622
Train 8, loss: 2.206614, train acc: 0.639963, train avg acc: 0.487662
Test 8, loss: 1.936355, test acc: 0.745948, test avg acc: 0.646837
Train 9, loss: 2.126998, train acc: 0.678746, train avg acc: 0.535882
Test 9, loss: 1.937684, test acc: 0.747974, test avg acc: 0.637052
Train 10, loss: 2.061206, train acc: 0.710505, train avg acc: 0.574776
Test 10, loss: 1.897510, test acc: 0.752836, test avg acc: 0.657221
Train 11, loss: 2.026635, train acc: 0.717936, train avg acc: 0.587567
Test 11, loss: 1.790350, test acc: 0.817666, test avg acc: 0.697378
Train 12, loss: 1.992370, train acc: 0.733103, train avg acc: 0.607082
Test 12, loss: 1.884081, test acc: 0.782415, test avg acc: 0.684564
Train 13, loss: 1.944119, train acc: 0.757838, train avg acc: 0.637749
Test 13, loss: 1.784140, test acc: 0.820502, test avg acc: 0.734471
Train 14, loss: 1.909113, train acc: 0.767101, train avg acc: 0.654624
Test 14, loss: 1.827529, test acc: 0.791734, test avg acc: 0.701174
Train 15, loss: 1.884114, train acc: 0.783489, train avg acc: 0.675420
Test 15, loss: 1.804845, test acc: 0.792139, test avg acc: 0.738430
Train 16, loss: 1.870989, train acc: 0.785322, train avg acc: 0.677758
Test 16, loss: 1.824811, test acc: 0.792950, test avg acc: 0.718273
Train 17, loss: 1.853101, train acc: 0.797740, train avg acc: 0.696316
Test 17, loss: 1.755402, test acc: 0.830227, test avg acc: 0.740273
Train 18, loss: 1.832642, train acc: 0.800489, train avg acc: 0.701844
Test 18, loss: 1.750477, test acc: 0.821313, test avg acc: 0.736238
Train 19, loss: 1.835397, train acc: 0.803033, train avg acc: 0.707710
Test 19, loss: 1.709666, test acc: 0.832658, test avg acc: 0.778384
Train 20, loss: 1.803960, train acc: 0.814943, train avg acc: 0.723066
Test 20, loss: 1.729891, test acc: 0.833874, test avg acc: 0.744523
Train 21, loss: 1.787138, train acc: 0.821356, train avg acc: 0.732328
Test 21, loss: 1.705319, test acc: 0.843193, test avg acc: 0.793953
Train 22, loss: 1.782484, train acc: 0.820745, train avg acc: 0.732976
Test 22, loss: 1.690077, test acc: 0.862642, test avg acc: 0.794773
Train 23, loss: 1.765022, train acc: 0.827667, train avg acc: 0.739291
Test 23, loss: 1.703956, test acc: 0.841167, test avg acc: 0.785878
Train 24, loss: 1.764309, train acc: 0.825224, train avg acc: 0.738667
Test 24, loss: 1.719415, test acc: 0.833468, test avg acc: 0.772442
Train 25, loss: 1.755698, train acc: 0.832349, train avg acc: 0.748274
Test 25, loss: 1.664132, test acc: 0.857780, test avg acc: 0.800599
Train 26, loss: 1.741619, train acc: 0.836421, train avg acc: 0.755104
Test 26, loss: 1.663811, test acc: 0.862237, test avg acc: 0.815099
Train 27, loss: 1.735122, train acc: 0.840086, train avg acc: 0.760134
