Namespace(batch_size=8, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_b8_lr3', k=20, lr=0.0003, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 5.440155, train acc: 0.105589, train avg acc: 0.053896
Test 0, loss: 3.198528, test acc: 0.219611, test avg acc: 0.148500
Train 1, loss: 3.169673, train acc: 0.286789, train avg acc: 0.146718
Test 1, loss: 2.570326, test acc: 0.448541, test avg acc: 0.309605
Train 2, loss: 2.810514, train acc: 0.411077, train avg acc: 0.236910
Test 2, loss: 2.398913, test acc: 0.526742, test avg acc: 0.374140
Train 3, loss: 2.623212, train acc: 0.481199, train avg acc: 0.303802
Test 3, loss: 2.255847, test acc: 0.576985, test avg acc: 0.465029
Train 4, loss: 2.469085, train acc: 0.537195, train avg acc: 0.367464
Test 4, loss: 2.114077, test acc: 0.696515, test avg acc: 0.552797
Train 5, loss: 2.367348, train acc: 0.579675, train avg acc: 0.413483
Test 5, loss: 2.061834, test acc: 0.674635, test avg acc: 0.543087
Train 6, loss: 2.272966, train acc: 0.617480, train avg acc: 0.461145
Test 6, loss: 2.044103, test acc: 0.694895, test avg acc: 0.602901
Train 7, loss: 2.206609, train acc: 0.646341, train avg acc: 0.499220
Test 7, loss: 1.934816, test acc: 0.759724, test avg acc: 0.652605
Train 8, loss: 2.143718, train acc: 0.677744, train avg acc: 0.537967
Test 8, loss: 1.889454, test acc: 0.762561, test avg acc: 0.671512
Train 9, loss: 2.093633, train acc: 0.694919, train avg acc: 0.560975
Test 9, loss: 1.797399, test acc: 0.823744, test avg acc: 0.747837
Train 10, loss: 2.058732, train acc: 0.712297, train avg acc: 0.583203
Test 10, loss: 1.839577, test acc: 0.786062, test avg acc: 0.696727
Train 11, loss: 2.017055, train acc: 0.731606, train avg acc: 0.608753
