Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.222096, train acc: 0.426099, train avg acc: 0.264061
Test 0, loss: 2.174343, test acc: 0.642626, test avg acc: 0.523843
Train 1, loss: 2.103868, train acc: 0.665411, train avg acc: 0.509220
Test 1, loss: 2.025147, test acc: 0.718395, test avg acc: 0.604605
Train 2, loss: 1.937979, train acc: 0.737276, train avg acc: 0.609662
Test 2, loss: 1.976953, test acc: 0.718395, test avg acc: 0.620634
Train 3, loss: 1.838683, train acc: 0.780537, train avg acc: 0.676527
Test 3, loss: 1.787922, test acc: 0.805511, test avg acc: 0.709494
Train 4, loss: 1.783075, train acc: 0.800387, train avg acc: 0.706538
Test 4, loss: 1.751943, test acc: 0.817261, test avg acc: 0.756163
Train 5, loss: 1.734657, train acc: 0.825020, train avg acc: 0.742437
Test 5, loss: 1.741773, test acc: 0.803485, test avg acc: 0.749837
Train 6, loss: 1.696187, train acc: 0.838966, train avg acc: 0.757127
Test 6, loss: 1.709246, test acc: 0.829822, test avg acc: 0.796663
Train 7, loss: 1.674163, train acc: 0.848331, train avg acc: 0.774817
Test 7, loss: 1.665620, test acc: 0.850891, test avg acc: 0.801721
