Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0_id', id_skip=True, k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, pre_act=False, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.162212, train acc: 0.405130, train avg acc: 0.250222
Test 0, loss: 2.236436, test acc: 0.622771, test avg acc: 0.492029
Train 1, loss: 2.174130, train acc: 0.640167, train avg acc: 0.477063
Test 1, loss: 2.027517, test acc: 0.726904, test avg acc: 0.595663
Train 2, loss: 2.001921, train acc: 0.708571, train avg acc: 0.568219
Test 2, loss: 1.888310, test acc: 0.760535, test avg acc: 0.661779
Train 3, loss: 1.903229, train acc: 0.759059, train avg acc: 0.634069
Test 3, loss: 1.862392, test acc: 0.773096, test avg acc: 0.687634
Train 4, loss: 1.849423, train acc: 0.782166, train avg acc: 0.671657
Test 4, loss: 1.842207, test acc: 0.802269, test avg acc: 0.724942
Train 5, loss: 1.806555, train acc: 0.794686, train avg acc: 0.692610
Test 5, loss: 1.829238, test acc: 0.792139, test avg acc: 0.690244
Train 6, loss: 1.766389, train acc: 0.815859, train avg acc: 0.724335
Test 6, loss: 1.786159, test acc: 0.805916, test avg acc: 0.717814
Train 7, loss: 1.741417, train acc: 0.821050, train avg acc: 0.733560
Test 7, loss: 1.783794, test acc: 0.817261, test avg acc: 0.763500
Train 8, loss: 1.718667, train acc: 0.828888, train avg acc: 0.741298
Test 8, loss: 1.705958, test acc: 0.844408, test avg acc: 0.791070
Train 9, loss: 1.684479, train acc: 0.845073, train avg acc: 0.769144
Test 9, loss: 1.717263, test acc: 0.841977, test avg acc: 0.765343
Train 10, loss: 1.669681, train acc: 0.851079, train avg acc: 0.774436
