Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0.5', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 4.133665, train acc: 0.250916, train avg acc: 0.130791
Test 0, loss: 2.741555, test acc: 0.399514, test avg acc: 0.279965
Train 1, loss: 2.587921, train acc: 0.487683, train avg acc: 0.310668
Test 1, loss: 2.327990, test acc: 0.566451, test avg acc: 0.454203
Train 2, loss: 2.303981, train acc: 0.596397, train avg acc: 0.432163
Test 2, loss: 2.104247, test acc: 0.673015, test avg acc: 0.554529
Train 3, loss: 2.132026, train acc: 0.667345, train avg acc: 0.512759
Test 3, loss: 1.927114, test acc: 0.767828, test avg acc: 0.653616
Train 4, loss: 2.041405, train acc: 0.712337, train avg acc: 0.569950
Test 4, loss: 1.914397, test acc: 0.748784, test avg acc: 0.656552
Train 5, loss: 1.976495, train acc: 0.728624, train avg acc: 0.598876
Test 5, loss: 1.994481, test acc: 0.720827, test avg acc: 0.632326
Train 6, loss: 1.901971, train acc: 0.762011, train avg acc: 0.643078
Test 6, loss: 1.813050, test acc: 0.792545, test avg acc: 0.712145
Train 7, loss: 1.862853, train acc: 0.781148, train avg acc: 0.673235
Test 7, loss: 1.982047, test acc: 0.727310, test avg acc: 0.662360
Train 8, loss: 1.840569, train acc: 0.785016, train avg acc: 0.679550
Test 8, loss: 1.833906, test acc: 0.790924, test avg acc: 0.704541
Train 9, loss: 1.808890, train acc: 0.798555, train avg acc: 0.699969
Test 9, loss: 1.726100, test acc: 0.832253, test avg acc: 0.741645
Train 10, loss: 1.780168, train acc: 0.811787, train avg acc: 0.720367
Test 10, loss: 1.733367, test acc: 0.822528, test avg acc: 0.750297
Train 11, loss: 1.752572, train acc: 0.821763, train avg acc: 0.737123
Test 11, loss: 1.792268, test acc: 0.813209, test avg acc: 0.765140
Train 12, loss: 1.741904, train acc: 0.827362, train avg acc: 0.741604
Test 12, loss: 1.727610, test acc: 0.823339, test avg acc: 0.744017
Train 13, loss: 1.725297, train acc: 0.831331, train avg acc: 0.750776
Test 13, loss: 1.743002, test acc: 0.821718, test avg acc: 0.777610
Train 14, loss: 1.701403, train acc: 0.842936, train avg acc: 0.766083
Test 14, loss: 1.670112, test acc: 0.858590, test avg acc: 0.809285
Train 15, loss: 1.693622, train acc: 0.846600, train avg acc: 0.773806
Test 15, loss: 1.671055, test acc: 0.849271, test avg acc: 0.775901
Train 16, loss: 1.684229, train acc: 0.848941, train avg acc: 0.774135
Test 16, loss: 1.741652, test acc: 0.823339, test avg acc: 0.780581
Train 17, loss: 1.666630, train acc: 0.856067, train avg acc: 0.784118
Test 17, loss: 1.665556, test acc: 0.852917, test avg acc: 0.808983
Train 18, loss: 1.663229, train acc: 0.857492, train avg acc: 0.787236
Test 18, loss: 1.678303, test acc: 0.852107, test avg acc: 0.797651
Train 19, loss: 1.645413, train acc: 0.865126, train avg acc: 0.796212
Test 19, loss: 1.641967, test acc: 0.861426, test avg acc: 0.785331
Train 20, loss: 1.647434, train acc: 0.864414, train avg acc: 0.798095
Test 20, loss: 1.630224, test acc: 0.859400, test avg acc: 0.804163
Train 21, loss: 1.632980, train acc: 0.871844, train avg acc: 0.804917
Test 21, loss: 1.623177, test acc: 0.870340, test avg acc: 0.824262
Train 22, loss: 1.625158, train acc: 0.872150, train avg acc: 0.811938
Test 22, loss: 1.639993, test acc: 0.863452, test avg acc: 0.824558
Train 23, loss: 1.629575, train acc: 0.872353, train avg acc: 0.810054
Test 23, loss: 1.630461, test acc: 0.871151, test avg acc: 0.808890
Train 24, loss: 1.614632, train acc: 0.874287, train avg acc: 0.811937
Test 24, loss: 1.633294, test acc: 0.878039, test avg acc: 0.815407
Train 25, loss: 1.613001, train acc: 0.877239, train avg acc: 0.814040
Test 25, loss: 1.580106, test acc: 0.876418, test avg acc: 0.833733
Train 26, loss: 1.608385, train acc: 0.878156, train avg acc: 0.818314
Test 26, loss: 1.594127, test acc: 0.878039, test avg acc: 0.833552
Train 27, loss: 1.591068, train acc: 0.888335, train avg acc: 0.833901
Test 27, loss: 1.700774, test acc: 0.826175, test avg acc: 0.804616
Train 28, loss: 1.597565, train acc: 0.885892, train avg acc: 0.830766
Test 28, loss: 1.609196, test acc: 0.870340, test avg acc: 0.822384
Train 29, loss: 1.589327, train acc: 0.885383, train avg acc: 0.825779
Test 29, loss: 1.594408, test acc: 0.883306, test avg acc: 0.829849
Train 30, loss: 1.579172, train acc: 0.890167, train avg acc: 0.835017
Test 30, loss: 1.657303, test acc: 0.860211, test avg acc: 0.836366
Train 31, loss: 1.580495, train acc: 0.892305, train avg acc: 0.837274
Test 31, loss: 1.657411, test acc: 0.861021, test avg acc: 0.810233
Train 32, loss: 1.575673, train acc: 0.892712, train avg acc: 0.840132
Test 32, loss: 1.623050, test acc: 0.870746, test avg acc: 0.817128
Train 33, loss: 1.573999, train acc: 0.893628, train avg acc: 0.842096
Test 33, loss: 1.573119, test acc: 0.884522, test avg acc: 0.840674
Train 34, loss: 1.579993, train acc: 0.892814, train avg acc: 0.836826
Test 34, loss: 1.633255, test acc: 0.860211, test avg acc: 0.829378
Train 35, loss: 1.573295, train acc: 0.894849, train avg acc: 0.841078
Test 35, loss: 1.584553, test acc: 0.883712, test avg acc: 0.827134
Train 36, loss: 1.567897, train acc: 0.894035, train avg acc: 0.838988
Test 36, loss: 1.596228, test acc: 0.882091, test avg acc: 0.833855
Train 37, loss: 1.557242, train acc: 0.901568, train avg acc: 0.851306
Test 37, loss: 1.594332, test acc: 0.884927, test avg acc: 0.826459
Train 38, loss: 1.556788, train acc: 0.899125, train avg acc: 0.847912
Test 38, loss: 1.620729, test acc: 0.874797, test avg acc: 0.841773
Train 39, loss: 1.558045, train acc: 0.899023, train avg acc: 0.851636
Test 39, loss: 1.613986, test acc: 0.870340, test avg acc: 0.812424
Train 40, loss: 1.555130, train acc: 0.898514, train avg acc: 0.843862
Test 40, loss: 1.581377, test acc: 0.891410, test avg acc: 0.839209
Train 41, loss: 1.548269, train acc: 0.902382, train avg acc: 0.852801
Test 41, loss: 1.578702, test acc: 0.880470, test avg acc: 0.844570
Train 42, loss: 1.541918, train acc: 0.900244, train avg acc: 0.851576
Test 42, loss: 1.593172, test acc: 0.885737, test avg acc: 0.833581
Train 43, loss: 1.545265, train acc: 0.905029, train avg acc: 0.856236
Test 43, loss: 1.675202, test acc: 0.829011, test avg acc: 0.812215
Train 44, loss: 1.544929, train acc: 0.905537, train avg acc: 0.859587
Test 44, loss: 1.571823, test acc: 0.886143, test avg acc: 0.813797
Train 45, loss: 1.540204, train acc: 0.907268, train avg acc: 0.860908
Test 45, loss: 1.578517, test acc: 0.886548, test avg acc: 0.843709
Train 46, loss: 1.529911, train acc: 0.911849, train avg acc: 0.865495
Test 46, loss: 1.593774, test acc: 0.878849, test avg acc: 0.839715
Train 47, loss: 1.530902, train acc: 0.905537, train avg acc: 0.854908
Test 47, loss: 1.547625, test acc: 0.893031, test avg acc: 0.858302
Train 48, loss: 1.532877, train acc: 0.908489, train avg acc: 0.861555
Test 48, loss: 1.558152, test acc: 0.898298, test avg acc: 0.838855
Train 49, loss: 1.531339, train acc: 0.907777, train avg acc: 0.859911
Test 49, loss: 1.611098, test acc: 0.868314, test avg acc: 0.824913
Train 50, loss: 1.526271, train acc: 0.914190, train avg acc: 0.870058
Test 50, loss: 1.563716, test acc: 0.881686, test avg acc: 0.832076
Train 51, loss: 1.523983, train acc: 0.911136, train avg acc: 0.868565
Test 51, loss: 1.537389, test acc: 0.908023, test avg acc: 0.853628
Train 52, loss: 1.527045, train acc: 0.909202, train avg acc: 0.864326
Test 52, loss: 1.541719, test acc: 0.894652, test avg acc: 0.841762
Train 53, loss: 1.516267, train acc: 0.914495, train avg acc: 0.868763
Test 53, loss: 1.575975, test acc: 0.882496, test avg acc: 0.852797
Train 54, loss: 1.523634, train acc: 0.911849, train avg acc: 0.866873
Test 54, loss: 1.567230, test acc: 0.884927, test avg acc: 0.860802
Train 55, loss: 1.518807, train acc: 0.911034, train avg acc: 0.866326
Test 55, loss: 1.547812, test acc: 0.895462, test avg acc: 0.852674
Train 56, loss: 1.512423, train acc: 0.918465, train avg acc: 0.875736
Test 56, loss: 1.575779, test acc: 0.880875, test avg acc: 0.842244
Train 57, loss: 1.507756, train acc: 0.919279, train avg acc: 0.878595
Test 57, loss: 1.583720, test acc: 0.886143, test avg acc: 0.857087
Train 58, loss: 1.512715, train acc: 0.915818, train avg acc: 0.874594
Test 58, loss: 1.550369, test acc: 0.894246, test avg acc: 0.864390
Train 59, loss: 1.509072, train acc: 0.918261, train avg acc: 0.875822
Test 59, loss: 1.582474, test acc: 0.880470, test avg acc: 0.842407
Train 60, loss: 1.505170, train acc: 0.919585, train avg acc: 0.879514
Test 60, loss: 1.571048, test acc: 0.887358, test avg acc: 0.857052
Train 61, loss: 1.510516, train acc: 0.919178, train avg acc: 0.881335
Test 61, loss: 1.566062, test acc: 0.880470, test avg acc: 0.851895
Train 62, loss: 1.508446, train acc: 0.918363, train avg acc: 0.876460
Test 62, loss: 1.531671, test acc: 0.901135, test avg acc: 0.858000
Train 63, loss: 1.502992, train acc: 0.921519, train avg acc: 0.884176
Test 63, loss: 1.551076, test acc: 0.897893, test avg acc: 0.831628
Train 64, loss: 1.497695, train acc: 0.919585, train avg acc: 0.881196
Test 64, loss: 1.581820, test acc: 0.883712, test avg acc: 0.861029
Train 65, loss: 1.489844, train acc: 0.927423, train avg acc: 0.890594
Test 65, loss: 1.567122, test acc: 0.880875, test avg acc: 0.835634
Train 66, loss: 1.501059, train acc: 0.921824, train avg acc: 0.881973
Test 66, loss: 1.559960, test acc: 0.886143, test avg acc: 0.851047
Train 67, loss: 1.492263, train acc: 0.924064, train avg acc: 0.885218
Test 67, loss: 1.558671, test acc: 0.881686, test avg acc: 0.833052
Train 68, loss: 1.494495, train acc: 0.921417, train avg acc: 0.884741
Test 68, loss: 1.553935, test acc: 0.893841, test avg acc: 0.846884
Train 69, loss: 1.490497, train acc: 0.925489, train avg acc: 0.888206
Test 69, loss: 1.540495, test acc: 0.892220, test avg acc: 0.848424
Train 70, loss: 1.489832, train acc: 0.924776, train avg acc: 0.886047
Test 70, loss: 1.536864, test acc: 0.903971, test avg acc: 0.859587
Train 71, loss: 1.488519, train acc: 0.925998, train avg acc: 0.889546
Test 71, loss: 1.569199, test acc: 0.891005, test avg acc: 0.840721
Train 72, loss: 1.487841, train acc: 0.929153, train avg acc: 0.892882
Test 72, loss: 1.539086, test acc: 0.897083, test avg acc: 0.848587
Train 73, loss: 1.486509, train acc: 0.926099, train avg acc: 0.888457
Test 73, loss: 1.549630, test acc: 0.888979, test avg acc: 0.845285
Train 74, loss: 1.491260, train acc: 0.922638, train avg acc: 0.882542
Test 74, loss: 1.554473, test acc: 0.888574, test avg acc: 0.842430
Train 75, loss: 1.480492, train acc: 0.929357, train avg acc: 0.893858
Test 75, loss: 1.508659, test acc: 0.899919, test avg acc: 0.857198
Train 76, loss: 1.478356, train acc: 0.930782, train avg acc: 0.895384
Test 76, loss: 1.563035, test acc: 0.887763, test avg acc: 0.845674
Train 77, loss: 1.479938, train acc: 0.929153, train avg acc: 0.890751
Test 77, loss: 1.520768, test acc: 0.905592, test avg acc: 0.854797
Train 78, loss: 1.474309, train acc: 0.934243, train avg acc: 0.898917
Test 78, loss: 1.531002, test acc: 0.900324, test avg acc: 0.856680
Train 79, loss: 1.476428, train acc: 0.928848, train avg acc: 0.890973
Test 79, loss: 1.533851, test acc: 0.900729, test avg acc: 0.854453
Train 80, loss: 1.473933, train acc: 0.930375, train avg acc: 0.893318
Test 80, loss: 1.561088, test acc: 0.891815, test avg acc: 0.843297
Train 81, loss: 1.471303, train acc: 0.932207, train avg acc: 0.895887
Test 81, loss: 1.545866, test acc: 0.893031, test avg acc: 0.859302
Train 82, loss: 1.468443, train acc: 0.932410, train avg acc: 0.897391
Test 82, loss: 1.536150, test acc: 0.892220, test avg acc: 0.855791
Train 83, loss: 1.469436, train acc: 0.934344, train avg acc: 0.898905
Test 83, loss: 1.552684, test acc: 0.892220, test avg acc: 0.854657
Train 84, loss: 1.468701, train acc: 0.931189, train avg acc: 0.896902
Test 84, loss: 1.545231, test acc: 0.899919, test avg acc: 0.856355
Train 85, loss: 1.466051, train acc: 0.934853, train avg acc: 0.903669
Test 85, loss: 1.547632, test acc: 0.893031, test avg acc: 0.862262
Train 86, loss: 1.469539, train acc: 0.932105, train avg acc: 0.897593
Test 86, loss: 1.575558, test acc: 0.878849, test avg acc: 0.840779
Train 87, loss: 1.457941, train acc: 0.937093, train avg acc: 0.906003
Test 87, loss: 1.527414, test acc: 0.895867, test avg acc: 0.857297
Train 88, loss: 1.467850, train acc: 0.935057, train avg acc: 0.901134
Test 88, loss: 1.539754, test acc: 0.891005, test avg acc: 0.848622
Train 89, loss: 1.457247, train acc: 0.936686, train avg acc: 0.902948
Test 89, loss: 1.533132, test acc: 0.897488, test avg acc: 0.853297
Train 90, loss: 1.454624, train acc: 0.937195, train avg acc: 0.903662
