Namespace(batch_size=32, dataset='modelnet40', dropout=0.7, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0.7', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.7, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0.7', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 7.769481, train acc: 0.071254, train avg acc: 0.036997
Test 0, loss: 8.829289, test acc: 0.006078, test avg acc: 0.006750
Train 1, loss: 8.929954, train acc: 0.055985, train avg acc: 0.029108
Test 1, loss: 3.970682, test acc: 0.085494, test avg acc: 0.052750
Train 2, loss: 11.502961, train acc: 0.048249, train avg acc: 0.028897
Test 2, loss: 4.809710, test acc: 0.040519, test avg acc: 0.025000
Train 3, loss: 20.061879, train acc: 0.043160, train avg acc: 0.027479
Test 3, loss: 8.558117, test acc: 0.040519, test avg acc: 0.025000
Train 4, loss: 35.499756, train acc: 0.044686, train avg acc: 0.032246
Test 4, loss: 9.454309, test acc: 0.039708, test avg acc: 0.024500
Train 5, loss: 30.496827, train acc: 0.041022, train avg acc: 0.028073
Test 5, loss: 10.075481, test acc: 0.020665, test avg acc: 0.024500
Train 6, loss: 28.205678, train acc: 0.039597, train avg acc: 0.026533
Test 6, loss: 12.614080, test acc: 0.040519, test avg acc: 0.025000
Train 7, loss: 50.747582, train acc: 0.037459, train avg acc: 0.025070
Test 7, loss: 22.091572, test acc: 0.040519, test avg acc: 0.025000
Train 8, loss: 71.134971, train acc: 0.041327, train avg acc: 0.028393
Test 8, loss: 21.820175, test acc: 0.036872, test avg acc: 0.022750
Train 9, loss: 84.358128, train acc: 0.045603, train avg acc: 0.030495
Test 9, loss: 30.437521, test acc: 0.040519, test avg acc: 0.025000
Train 10, loss: 49.943976, train acc: 0.045603, train avg acc: 0.030557
Test 10, loss: 14.057655, test acc: 0.051459, test avg acc: 0.031750
Train 11, loss: 28.155067, train acc: 0.047842, train avg acc: 0.034088
Test 11, loss: 17.535790, test acc: 0.061183, test avg acc: 0.037750
Train 12, loss: 20.494639, train acc: 0.051608, train avg acc: 0.031839
Test 12, loss: 7.145882, test acc: 0.080632, test avg acc: 0.049750
Train 13, loss: 15.413342, train acc: 0.043465, train avg acc: 0.025729
Test 13, loss: 11.811279, test acc: 0.043355, test avg acc: 0.029750
Train 14, loss: 14.138416, train acc: 0.050794, train avg acc: 0.029376
Test 14, loss: 20.262648, test acc: 0.060778, test avg acc: 0.038000
Train 15, loss: 11.846449, train acc: 0.066775, train avg acc: 0.037330
Test 15, loss: 7.155438, test acc: 0.077391, test avg acc: 0.047750
Train 16, loss: 9.968153, train acc: 0.067284, train avg acc: 0.036083
Test 16, loss: 8.235825, test acc: 0.072934, test avg acc: 0.045000
Train 17, loss: 8.986463, train acc: 0.072883, train avg acc: 0.039014
Test 17, loss: 5.706484, test acc: 0.070097, test avg acc: 0.043250
Train 18, loss: 8.665293, train acc: 0.071967, train avg acc: 0.036476
Test 18, loss: 4.899214, test acc: 0.043355, test avg acc: 0.026750
Train 19, loss: 7.482711, train acc: 0.076344, train avg acc: 0.038447
Test 19, loss: 4.945814, test acc: 0.080227, test avg acc: 0.049500
Train 20, loss: 5.915769, train acc: 0.097923, train avg acc: 0.048834
Test 20, loss: 4.515814, test acc: 0.118720, test avg acc: 0.073250
Train 21, loss: 5.538780, train acc: 0.113498, train avg acc: 0.053562
Test 21, loss: 4.056267, test acc: 0.118720, test avg acc: 0.073250
Train 22, loss: 4.993418, train acc: 0.129581, train avg acc: 0.059687
Test 22, loss: 4.279880, test acc: 0.144246, test avg acc: 0.089000
Train 23, loss: 4.594021, train acc: 0.146682, train avg acc: 0.065771
Test 23, loss: 3.733622, test acc: 0.139789, test avg acc: 0.086250
Train 24, loss: 3.997652, train acc: 0.184650, train avg acc: 0.084063
Test 24, loss: 3.470488, test acc: 0.213938, test avg acc: 0.144000
Train 25, loss: 3.640421, train acc: 0.204397, train avg acc: 0.092692
Test 25, loss: 3.222546, test acc: 0.280794, test avg acc: 0.187250
Train 26, loss: 3.313509, train acc: 0.241348, train avg acc: 0.114279
Test 26, loss: 3.123361, test acc: 0.225284, test avg acc: 0.146081
Train 27, loss: 3.115552, train acc: 0.281555, train avg acc: 0.137817
Test 27, loss: 2.872281, test acc: 0.363452, test avg acc: 0.237250
Train 28, loss: 3.009914, train acc: 0.325529, train avg acc: 0.167922
Test 28, loss: 2.781217, test acc: 0.380065, test avg acc: 0.259703
Train 29, loss: 2.932970, train acc: 0.343139, train avg acc: 0.182620
Test 29, loss: 2.785074, test acc: 0.367099, test avg acc: 0.273907
Train 30, loss: 2.876441, train acc: 0.374186, train avg acc: 0.210989
Test 30, loss: 2.769543, test acc: 0.400729, test avg acc: 0.280453
Train 31, loss: 2.835268, train acc: 0.381515, train avg acc: 0.215507
Test 31, loss: 2.718518, test acc: 0.424635, test avg acc: 0.320140
Train 32, loss: 2.769486, train acc: 0.405537, train avg acc: 0.238629
Test 32, loss: 2.706430, test acc: 0.441653, test avg acc: 0.311640
Train 33, loss: 2.737739, train acc: 0.420908, train avg acc: 0.253960
Test 33, loss: 2.590396, test acc: 0.481767, test avg acc: 0.339279
Train 34, loss: 2.699769, train acc: 0.433530, train avg acc: 0.266946
Test 34, loss: 2.510541, test acc: 0.498379, test avg acc: 0.399965
Train 35, loss: 2.671592, train acc: 0.449919, train avg acc: 0.280603
Test 35, loss: 2.489588, test acc: 0.506078, test avg acc: 0.399669
Train 36, loss: 2.627167, train acc: 0.458774, train avg acc: 0.291516
Test 36, loss: 2.446483, test acc: 0.488250, test avg acc: 0.367198
Train 37, loss: 2.597789, train acc: 0.477809, train avg acc: 0.314458
Test 37, loss: 2.341801, test acc: 0.561588, test avg acc: 0.432645
Train 38, loss: 2.598255, train acc: 0.480049, train avg acc: 0.317852
Test 38, loss: 2.384411, test acc: 0.542950, test avg acc: 0.429924
Train 39, loss: 2.581454, train acc: 0.485037, train avg acc: 0.318418
Test 39, loss: 2.397649, test acc: 0.533225, test avg acc: 0.411703
Train 40, loss: 2.543896, train acc: 0.500407, train avg acc: 0.335599
Test 40, loss: 2.376668, test acc: 0.516207, test avg acc: 0.376622
Train 41, loss: 2.529258, train acc: 0.501934, train avg acc: 0.341754
Test 41, loss: 2.288816, test acc: 0.587520, test avg acc: 0.461355
Train 42, loss: 2.508188, train acc: 0.514251, train avg acc: 0.347512
Test 42, loss: 2.317760, test acc: 0.563209, test avg acc: 0.427994
Train 43, loss: 2.486171, train acc: 0.518526, train avg acc: 0.357321
Test 43, loss: 2.322551, test acc: 0.560373, test avg acc: 0.452802
Train 44, loss: 2.481504, train acc: 0.523005, train avg acc: 0.365663
Test 44, loss: 2.205710, test acc: 0.616694, test avg acc: 0.462488
Train 45, loss: 2.467491, train acc: 0.529927, train avg acc: 0.365005
Test 45, loss: 2.276402, test acc: 0.575770, test avg acc: 0.459733
Train 46, loss: 2.445152, train acc: 0.534100, train avg acc: 0.375666
Test 46, loss: 2.255626, test acc: 0.577796, test avg acc: 0.453767
Train 47, loss: 2.412051, train acc: 0.556393, train avg acc: 0.399626
Test 47, loss: 2.240410, test acc: 0.607374, test avg acc: 0.514413
Train 48, loss: 2.391928, train acc: 0.565452, train avg acc: 0.406166
Test 48, loss: 2.201614, test acc: 0.608590, test avg acc: 0.514244
Train 49, loss: 2.372997, train acc: 0.568913, train avg acc: 0.409107
Test 49, loss: 2.086258, test acc: 0.679092, test avg acc: 0.544576
Train 50, loss: 2.350031, train acc: 0.575835, train avg acc: 0.422275
Test 50, loss: 2.120914, test acc: 0.652755, test avg acc: 0.505657
Train 51, loss: 2.341361, train acc: 0.583164, train avg acc: 0.426002
Test 51, loss: 2.165765, test acc: 0.651945, test avg acc: 0.533773
Train 52, loss: 2.307120, train acc: 0.595786, train avg acc: 0.441695
Test 52, loss: 2.044150, test acc: 0.707455, test avg acc: 0.587285
Train 53, loss: 2.304428, train acc: 0.600265, train avg acc: 0.448158
Test 53, loss: 2.252748, test acc: 0.602917, test avg acc: 0.495831
Train 54, loss: 2.285533, train acc: 0.606067, train avg acc: 0.453640
Test 54, loss: 2.108433, test acc: 0.660454, test avg acc: 0.583884
Train 55, loss: 2.264433, train acc: 0.619605, train avg acc: 0.467083
Test 55, loss: 2.093139, test acc: 0.677472, test avg acc: 0.556291
Train 56, loss: 2.233985, train acc: 0.625814, train avg acc: 0.479563
Test 56, loss: 2.076992, test acc: 0.689222, test avg acc: 0.612366
Train 57, loss: 2.217740, train acc: 0.639149, train avg acc: 0.491390
Test 57, loss: 2.135692, test acc: 0.691248, test avg acc: 0.619453
Train 58, loss: 2.204509, train acc: 0.641796, train avg acc: 0.489364
Test 58, loss: 2.006433, test acc: 0.717585, test avg acc: 0.618209
Train 59, loss: 2.175366, train acc: 0.656046, train avg acc: 0.513658
Test 59, loss: 2.023233, test acc: 0.684765, test avg acc: 0.575988
Train 60, loss: 2.170600, train acc: 0.654112, train avg acc: 0.509766
Test 60, loss: 2.064420, test acc: 0.677877, test avg acc: 0.610651
Train 61, loss: 2.157243, train acc: 0.656657, train avg acc: 0.513377
Test 61, loss: 1.964971, test acc: 0.737034, test avg acc: 0.675692
Train 62, loss: 2.132064, train acc: 0.669483, train avg acc: 0.527247
Test 62, loss: 2.050409, test acc: 0.686386, test avg acc: 0.598140
Train 63, loss: 2.123203, train acc: 0.672740, train avg acc: 0.532103
Test 63, loss: 1.917585, test acc: 0.751216, test avg acc: 0.648128
Train 64, loss: 2.112898, train acc: 0.680069, train avg acc: 0.540915
