Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.183240, train acc: 0.413783, train avg acc: 0.263313
Test 0, loss: 2.354804, test acc: 0.534036, test avg acc: 0.421808
Train 1, loss: 2.136030, train acc: 0.654112, train avg acc: 0.492014
Test 1, loss: 1.964151, test acc: 0.731767, test avg acc: 0.636977
Train 2, loss: 1.970837, train acc: 0.720888, train avg acc: 0.583464
Test 2, loss: 1.912807, test acc: 0.749190, test avg acc: 0.681942
Train 3, loss: 1.873172, train acc: 0.769137, train avg acc: 0.656198
Test 3, loss: 1.869354, test acc: 0.755673, test avg acc: 0.713076
Train 4, loss: 1.826772, train acc: 0.786441, train avg acc: 0.684916
Test 4, loss: 1.774176, test acc: 0.811588, test avg acc: 0.727058
Train 5, loss: 1.786544, train acc: 0.801812, train avg acc: 0.708342
Test 5, loss: 1.743007, test acc: 0.822934, test avg acc: 0.722890
Train 6, loss: 1.749051, train acc: 0.816572, train avg acc: 0.723039
Test 6, loss: 1.738930, test acc: 0.815640, test avg acc: 0.755494
Train 7, loss: 1.710187, train acc: 0.833164, train avg acc: 0.752352
Test 7, loss: 1.718839, test acc: 0.840762, test avg acc: 0.783616
Train 8, loss: 1.686163, train acc: 0.844157, train avg acc: 0.769183
Test 8, loss: 1.699208, test acc: 0.834684, test avg acc: 0.779453
Train 9, loss: 1.669761, train acc: 0.848127, train avg acc: 0.772651
Test 9, loss: 1.724986, test acc: 0.823339, test avg acc: 0.756523
Train 10, loss: 1.663598, train acc: 0.849043, train avg acc: 0.771546
Test 10, loss: 1.666902, test acc: 0.856969, test avg acc: 0.799500
Train 11, loss: 1.637517, train acc: 0.861564, train avg acc: 0.791493
Test 11, loss: 1.658515, test acc: 0.850891, test avg acc: 0.794733
Train 12, loss: 1.624612, train acc: 0.864821, train avg acc: 0.799844
Test 12, loss: 1.650219, test acc: 0.850891, test avg acc: 0.807657
Train 13, loss: 1.614981, train acc: 0.870216, train avg acc: 0.804153
Test 13, loss: 1.642576, test acc: 0.864668, test avg acc: 0.824116
Train 14, loss: 1.603948, train acc: 0.877545, train avg acc: 0.817370
Test 14, loss: 1.623923, test acc: 0.874392, test avg acc: 0.815267
Train 15, loss: 1.592104, train acc: 0.875916, train avg acc: 0.816038
Test 15, loss: 1.658903, test acc: 0.835900, test avg acc: 0.806640
Train 16, loss: 1.588860, train acc: 0.879988, train avg acc: 0.818524
Test 16, loss: 1.613975, test acc: 0.867099, test avg acc: 0.834256
Train 17, loss: 1.571694, train acc: 0.890371, train avg acc: 0.835171
Test 17, loss: 1.612601, test acc: 0.885332, test avg acc: 0.833448
