Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet_d0.5', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet_d0.5', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.050590, train acc: 0.401669, train avg acc: 0.240316
Test 0, loss: 2.280944, test acc: 0.537277, test avg acc: 0.426686
Train 1, loss: 2.358294, train acc: 0.569015, train avg acc: 0.400813
Test 1, loss: 2.053428, test acc: 0.662480, test avg acc: 0.527000
Train 2, loss: 2.255083, train acc: 0.605456, train avg acc: 0.442285
Test 2, loss: 2.060641, test acc: 0.677066, test avg acc: 0.551552
Train 3, loss: 2.189600, train acc: 0.636197, train avg acc: 0.483351
Test 3, loss: 2.037893, test acc: 0.678282, test avg acc: 0.531581
Train 4, loss: 2.143762, train acc: 0.653196, train avg acc: 0.499429
Test 4, loss: 1.914291, test acc: 0.722042, test avg acc: 0.584145
Train 5, loss: 2.120600, train acc: 0.658388, train avg acc: 0.506010
Test 5, loss: 1.966630, test acc: 0.702188, test avg acc: 0.610651
Train 6, loss: 2.104364, train acc: 0.665717, train avg acc: 0.513500
Test 6, loss: 1.875831, test acc: 0.769449, test avg acc: 0.650360
Train 7, loss: 2.080561, train acc: 0.679560, train avg acc: 0.536821
Test 7, loss: 1.863706, test acc: 0.764992, test avg acc: 0.676320
Train 8, loss: 2.064836, train acc: 0.686075, train avg acc: 0.540500
Test 8, loss: 1.848963, test acc: 0.784036, test avg acc: 0.695692
Train 9, loss: 2.050052, train acc: 0.691979, train avg acc: 0.549605
Test 9, loss: 1.908545, test acc: 0.724068, test avg acc: 0.636837
Train 10, loss: 2.050361, train acc: 0.688823, train avg acc: 0.549869
Test 10, loss: 1.881728, test acc: 0.752026, test avg acc: 0.651669
Train 11, loss: 2.031059, train acc: 0.699511, train avg acc: 0.559108
Test 11, loss: 1.819618, test acc: 0.775527, test avg acc: 0.680198
Train 12, loss: 2.030918, train acc: 0.700428, train avg acc: 0.564371
Test 12, loss: 1.848134, test acc: 0.756888, test avg acc: 0.658302
Train 13, loss: 2.006923, train acc: 0.708062, train avg acc: 0.570684
Test 13, loss: 1.860391, test acc: 0.767828, test avg acc: 0.668721
Train 14, loss: 2.016525, train acc: 0.703787, train avg acc: 0.565859
Test 14, loss: 1.863869, test acc: 0.773501, test avg acc: 0.653965
Train 15, loss: 2.003013, train acc: 0.715493, train avg acc: 0.579646
Test 15, loss: 1.829658, test acc: 0.777553, test avg acc: 0.683657
Train 16, loss: 1.994926, train acc: 0.713355, train avg acc: 0.575788
Test 16, loss: 1.909496, test acc: 0.767828, test avg acc: 0.688901
Train 17, loss: 1.990438, train acc: 0.723840, train avg acc: 0.591599
Test 17, loss: 1.876099, test acc: 0.754457, test avg acc: 0.687715
Train 18, loss: 1.990112, train acc: 0.718037, train avg acc: 0.585857
Test 18, loss: 1.798338, test acc: 0.790924, test avg acc: 0.701645
Train 19, loss: 1.982171, train acc: 0.724145, train avg acc: 0.596293
Test 19, loss: 1.816410, test acc: 0.789708, test avg acc: 0.701779
Train 20, loss: 1.973298, train acc: 0.726893, train avg acc: 0.595897
Test 20, loss: 1.785290, test acc: 0.796596, test avg acc: 0.698488
Train 21, loss: 1.972951, train acc: 0.724043, train avg acc: 0.591390
Test 21, loss: 1.767357, test acc: 0.794165, test avg acc: 0.698384
Train 22, loss: 1.967152, train acc: 0.730049, train avg acc: 0.596360
Test 22, loss: 1.789646, test acc: 0.792139, test avg acc: 0.707203
Train 23, loss: 1.960300, train acc: 0.728827, train avg acc: 0.599135
Test 23, loss: 1.817821, test acc: 0.772285, test avg acc: 0.691698
Train 24, loss: 1.952864, train acc: 0.735444, train avg acc: 0.609353
Test 24, loss: 1.811818, test acc: 0.795786, test avg acc: 0.683314
Train 25, loss: 1.945013, train acc: 0.738294, train avg acc: 0.617407
Test 25, loss: 1.880702, test acc: 0.747569, test avg acc: 0.674163
Train 26, loss: 1.944639, train acc: 0.739719, train avg acc: 0.613576
Test 26, loss: 1.800420, test acc: 0.785251, test avg acc: 0.701000
Train 27, loss: 1.948178, train acc: 0.740330, train avg acc: 0.616477
Test 27, loss: 1.786761, test acc: 0.794976, test avg acc: 0.705000
Train 28, loss: 1.933426, train acc: 0.743485, train avg acc: 0.621482
Test 28, loss: 1.759960, test acc: 0.832253, test avg acc: 0.743360
Train 29, loss: 1.932981, train acc: 0.739515, train avg acc: 0.616096
Test 29, loss: 1.767980, test acc: 0.812399, test avg acc: 0.737599
Train 30, loss: 1.937765, train acc: 0.738905, train avg acc: 0.616464
Test 30, loss: 1.822519, test acc: 0.753647, test avg acc: 0.678535
Train 31, loss: 1.931801, train acc: 0.745012, train avg acc: 0.620340
Test 31, loss: 1.808632, test acc: 0.783225, test avg acc: 0.701192
Train 32, loss: 1.941212, train acc: 0.739108, train avg acc: 0.611668
Test 32, loss: 1.775650, test acc: 0.819287, test avg acc: 0.740384
Train 33, loss: 1.932382, train acc: 0.738905, train avg acc: 0.615133
Test 33, loss: 1.826310, test acc: 0.794571, test avg acc: 0.721233
Train 34, loss: 1.924108, train acc: 0.745216, train avg acc: 0.623507
Test 34, loss: 1.783286, test acc: 0.799028, test avg acc: 0.706064
Train 35, loss: 1.922641, train acc: 0.742875, train avg acc: 0.625354
Test 35, loss: 1.737210, test acc: 0.824554, test avg acc: 0.745302
Train 36, loss: 1.920837, train acc: 0.748575, train avg acc: 0.623107
Test 36, loss: 1.764005, test acc: 0.807536, test avg acc: 0.723628
Train 37, loss: 1.910204, train acc: 0.754682, train avg acc: 0.631726
Test 37, loss: 1.784431, test acc: 0.819692, test avg acc: 0.728140
Train 38, loss: 1.906529, train acc: 0.754173, train avg acc: 0.631299
Test 38, loss: 1.787562, test acc: 0.804295, test avg acc: 0.700744
Train 39, loss: 1.907498, train acc: 0.751018, train avg acc: 0.628087
Test 39, loss: 1.741085, test acc: 0.805916, test avg acc: 0.734308
Train 40, loss: 1.914576, train acc: 0.747964, train avg acc: 0.626955
Test 40, loss: 1.804076, test acc: 0.787682, test avg acc: 0.708331
Train 41, loss: 1.906927, train acc: 0.753257, train avg acc: 0.631506
Test 41, loss: 1.773867, test acc: 0.814830, test avg acc: 0.731442
Train 42, loss: 1.905449, train acc: 0.752036, train avg acc: 0.626953
Test 42, loss: 1.805274, test acc: 0.789708, test avg acc: 0.697866
Train 43, loss: 1.908959, train acc: 0.754682, train avg acc: 0.633256
Test 43, loss: 1.732147, test acc: 0.824554, test avg acc: 0.743215
