Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ssg_d0', k=20, lr=0.001, model='ssg', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ssg_d0', k=20, lr=0.001, model='ssg', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.835205, train acc: 0.531454, train avg acc: 0.378420
Test 0, loss: 2.038749, test acc: 0.727715, test avg acc: 0.630541
Train 1, loss: 1.936964, train acc: 0.745114, train avg acc: 0.619504
Test 1, loss: 1.877872, test acc: 0.783225, test avg acc: 0.685233
Train 2, loss: 1.830899, train acc: 0.786441, train avg acc: 0.678965
Test 2, loss: 1.860280, test acc: 0.775932, test avg acc: 0.697355
Train 3, loss: 1.758415, train acc: 0.819015, train avg acc: 0.723292
Test 3, loss: 1.868469, test acc: 0.775527, test avg acc: 0.689087
Train 4, loss: 1.720358, train acc: 0.833876, train avg acc: 0.748054
Test 4, loss: 1.730552, test acc: 0.831848, test avg acc: 0.765709
Train 5, loss: 1.695769, train acc: 0.839475, train avg acc: 0.758648
Test 5, loss: 1.727040, test acc: 0.831037, test avg acc: 0.752721
Train 6, loss: 1.674371, train acc: 0.851181, train avg acc: 0.773218
Test 6, loss: 1.719480, test acc: 0.843193, test avg acc: 0.804605
Train 7, loss: 1.657480, train acc: 0.854438, train avg acc: 0.782837
Test 7, loss: 1.695412, test acc: 0.838331, test avg acc: 0.786727
Train 8, loss: 1.641356, train acc: 0.859426, train avg acc: 0.788558
Test 8, loss: 1.660807, test acc: 0.852107, test avg acc: 0.820355
Train 9, loss: 1.623191, train acc: 0.870419, train avg acc: 0.804321
Test 9, loss: 1.674837, test acc: 0.834684, test avg acc: 0.791331
Train 10, loss: 1.622609, train acc: 0.866144, train avg acc: 0.797955
Test 10, loss: 1.678221, test acc: 0.850081, test avg acc: 0.805430
Train 11, loss: 1.609508, train acc: 0.875204, train avg acc: 0.813655
Test 11, loss: 1.643125, test acc: 0.873177, test avg acc: 0.828081
Train 12, loss: 1.600370, train acc: 0.876934, train avg acc: 0.816856
Test 12, loss: 1.649817, test acc: 0.860211, test avg acc: 0.802192
Train 13, loss: 1.590033, train acc: 0.880497, train avg acc: 0.819694
Test 13, loss: 1.632425, test acc: 0.871556, test avg acc: 0.828733
Train 14, loss: 1.586301, train acc: 0.885077, train avg acc: 0.825127
Test 14, loss: 1.669749, test acc: 0.852917, test avg acc: 0.802831
Train 15, loss: 1.589472, train acc: 0.879682, train avg acc: 0.820144
Test 15, loss: 1.640302, test acc: 0.863857, test avg acc: 0.828151
Train 16, loss: 1.572510, train acc: 0.889047, train avg acc: 0.831417
Test 16, loss: 1.635999, test acc: 0.871961, test avg acc: 0.838459
Train 17, loss: 1.578078, train acc: 0.887215, train avg acc: 0.832220
Test 17, loss: 1.663133, test acc: 0.847245, test avg acc: 0.795471
Train 18, loss: 1.563351, train acc: 0.891694, train avg acc: 0.836095
Test 18, loss: 1.636933, test acc: 0.861426, test avg acc: 0.844802
Train 19, loss: 1.558926, train acc: 0.891897, train avg acc: 0.837394
Test 19, loss: 1.609110, test acc: 0.880470, test avg acc: 0.839297
Train 20, loss: 1.555652, train acc: 0.897598, train avg acc: 0.844381
Test 20, loss: 1.604471, test acc: 0.875203, test avg acc: 0.823105
Train 21, loss: 1.553089, train acc: 0.895765, train avg acc: 0.843543
Test 21, loss: 1.589272, test acc: 0.889789, test avg acc: 0.835093
Train 22, loss: 1.548014, train acc: 0.899735, train avg acc: 0.849587
Test 22, loss: 1.625304, test acc: 0.872771, test avg acc: 0.831465
Train 23, loss: 1.545010, train acc: 0.899430, train avg acc: 0.849206
Test 23, loss: 1.599946, test acc: 0.878444, test avg acc: 0.833186
Train 24, loss: 1.546860, train acc: 0.896783, train avg acc: 0.846818
Test 24, loss: 1.652851, test acc: 0.863452, test avg acc: 0.836948
Train 25, loss: 1.540504, train acc: 0.900346, train avg acc: 0.848257
Test 25, loss: 1.639471, test acc: 0.853323, test avg acc: 0.808762
Train 26, loss: 1.534976, train acc: 0.901568, train avg acc: 0.851167
Test 26, loss: 1.628498, test acc: 0.870340, test avg acc: 0.838250
Train 27, loss: 1.535663, train acc: 0.899634, train avg acc: 0.847553
Test 27, loss: 1.611815, test acc: 0.869125, test avg acc: 0.809919
Train 28, loss: 1.536201, train acc: 0.902280, train avg acc: 0.851016
Test 28, loss: 1.643166, test acc: 0.853728, test avg acc: 0.814006
Train 29, loss: 1.529950, train acc: 0.905639, train avg acc: 0.858165
Test 29, loss: 1.676554, test acc: 0.852107, test avg acc: 0.830703
Train 30, loss: 1.528833, train acc: 0.907166, train avg acc: 0.858728
Test 30, loss: 1.581056, test acc: 0.889789, test avg acc: 0.848134
Train 31, loss: 1.517770, train acc: 0.910016, train avg acc: 0.865125
Test 31, loss: 1.568964, test acc: 0.879254, test avg acc: 0.829349
Train 32, loss: 1.522784, train acc: 0.908795, train avg acc: 0.861243
Test 32, loss: 1.608888, test acc: 0.877634, test avg acc: 0.836669
Train 33, loss: 1.521768, train acc: 0.907471, train avg acc: 0.858429
Test 33, loss: 1.663616, test acc: 0.843193, test avg acc: 0.843477
Train 34, loss: 1.517910, train acc: 0.910525, train avg acc: 0.866754
Test 34, loss: 1.571972, test acc: 0.889789, test avg acc: 0.854901
Train 35, loss: 1.515108, train acc: 0.913884, train avg acc: 0.868209
Test 35, loss: 1.648298, test acc: 0.854538, test avg acc: 0.841355
Train 36, loss: 1.515278, train acc: 0.912256, train avg acc: 0.868611
Test 36, loss: 1.610116, test acc: 0.878444, test avg acc: 0.837930
Train 37, loss: 1.520097, train acc: 0.909100, train avg acc: 0.866050
Test 37, loss: 1.570685, test acc: 0.898703, test avg acc: 0.843291
Train 38, loss: 1.507940, train acc: 0.912459, train avg acc: 0.868355
Test 38, loss: 1.627257, test acc: 0.861831, test avg acc: 0.804936
Train 39, loss: 1.514219, train acc: 0.908286, train avg acc: 0.859611
Test 39, loss: 1.644465, test acc: 0.863047, test avg acc: 0.840773
Train 40, loss: 1.509016, train acc: 0.911034, train avg acc: 0.866648
Test 40, loss: 1.614309, test acc: 0.872771, test avg acc: 0.828483
Train 41, loss: 1.512444, train acc: 0.911849, train avg acc: 0.865506
Test 41, loss: 1.661167, test acc: 0.846840, test avg acc: 0.825674
Train 42, loss: 1.502720, train acc: 0.915411, train avg acc: 0.871868
Test 42, loss: 1.612006, test acc: 0.858995, test avg acc: 0.828215
Train 43, loss: 1.499902, train acc: 0.919483, train avg acc: 0.875647
Test 43, loss: 1.579335, test acc: 0.885332, test avg acc: 0.847122
Train 44, loss: 1.508428, train acc: 0.914292, train avg acc: 0.873094
Test 44, loss: 1.629422, test acc: 0.861021, test avg acc: 0.809047
Train 45, loss: 1.498638, train acc: 0.916022, train avg acc: 0.872655
Test 45, loss: 1.592676, test acc: 0.873582, test avg acc: 0.853087
Train 46, loss: 1.506550, train acc: 0.911543, train avg acc: 0.866510
Test 46, loss: 1.585552, test acc: 0.891005, test avg acc: 0.851523
Train 47, loss: 1.503825, train acc: 0.915309, train avg acc: 0.870605
Test 47, loss: 1.577908, test acc: 0.879254, test avg acc: 0.835424
Train 48, loss: 1.498725, train acc: 0.917956, train avg acc: 0.874775
Test 48, loss: 1.618766, test acc: 0.867504, test avg acc: 0.816605
Train 49, loss: 1.497197, train acc: 0.915106, train avg acc: 0.870059
Test 49, loss: 1.591668, test acc: 0.888574, test avg acc: 0.840971
Train 50, loss: 1.488675, train acc: 0.921926, train avg acc: 0.881618
Test 50, loss: 1.562503, test acc: 0.885332, test avg acc: 0.838948
Train 51, loss: 1.487548, train acc: 0.920704, train avg acc: 0.880819
Test 51, loss: 1.672327, test acc: 0.847245, test avg acc: 0.827703
Train 52, loss: 1.488542, train acc: 0.921315, train avg acc: 0.878200
Test 52, loss: 1.611784, test acc: 0.869935, test avg acc: 0.824401
Train 53, loss: 1.487954, train acc: 0.922231, train avg acc: 0.882130
Test 53, loss: 1.557950, test acc: 0.895867, test avg acc: 0.845471
Train 54, loss: 1.488831, train acc: 0.921519, train avg acc: 0.880049
Test 54, loss: 1.565191, test acc: 0.893436, test avg acc: 0.839971
Train 55, loss: 1.490192, train acc: 0.922435, train avg acc: 0.883576
Test 55, loss: 1.577287, test acc: 0.881280, test avg acc: 0.859256
Train 56, loss: 1.478633, train acc: 0.927830, train avg acc: 0.889014
Test 56, loss: 1.646321, test acc: 0.855348, test avg acc: 0.830314
Train 57, loss: 1.481488, train acc: 0.923962, train avg acc: 0.883837
Test 57, loss: 1.595791, test acc: 0.890194, test avg acc: 0.833942
Train 58, loss: 1.485518, train acc: 0.919992, train avg acc: 0.876186
Test 58, loss: 1.596299, test acc: 0.871556, test avg acc: 0.854628
Train 59, loss: 1.477442, train acc: 0.925489, train avg acc: 0.886799
Test 59, loss: 1.610165, test acc: 0.867909, test avg acc: 0.829180
Train 60, loss: 1.482364, train acc: 0.920399, train avg acc: 0.879352
Test 60, loss: 1.576661, test acc: 0.891815, test avg acc: 0.849448
Train 61, loss: 1.475710, train acc: 0.927524, train avg acc: 0.890476
Test 61, loss: 1.555403, test acc: 0.893436, test avg acc: 0.857384
Train 62, loss: 1.478190, train acc: 0.923860, train avg acc: 0.883325
Test 62, loss: 1.542618, test acc: 0.892220, test avg acc: 0.864000
Train 63, loss: 1.474156, train acc: 0.929357, train avg acc: 0.891811
Test 63, loss: 1.615245, test acc: 0.882091, test avg acc: 0.851343
Train 64, loss: 1.482940, train acc: 0.920094, train avg acc: 0.881879
Test 64, loss: 1.553242, test acc: 0.896272, test avg acc: 0.849860
Train 65, loss: 1.479376, train acc: 0.923453, train avg acc: 0.887363
Test 65, loss: 1.607916, test acc: 0.878444, test avg acc: 0.831645
Train 66, loss: 1.478909, train acc: 0.924267, train avg acc: 0.884251
Test 66, loss: 1.608973, test acc: 0.869935, test avg acc: 0.837029
Train 67, loss: 1.473289, train acc: 0.928237, train avg acc: 0.890477
Test 67, loss: 1.580580, test acc: 0.878444, test avg acc: 0.850669
Train 68, loss: 1.473781, train acc: 0.926507, train avg acc: 0.888179
Test 68, loss: 1.568549, test acc: 0.884927, test avg acc: 0.858122
Train 69, loss: 1.470992, train acc: 0.925285, train avg acc: 0.889091
Test 69, loss: 1.604491, test acc: 0.869125, test avg acc: 0.828901
Train 70, loss: 1.468002, train acc: 0.929560, train avg acc: 0.892229
Test 70, loss: 1.665190, test acc: 0.860211, test avg acc: 0.816186
Train 71, loss: 1.470691, train acc: 0.929051, train avg acc: 0.892582
Test 71, loss: 1.542428, test acc: 0.897083, test avg acc: 0.863337
Train 72, loss: 1.464120, train acc: 0.929357, train avg acc: 0.891327
Test 72, loss: 1.550613, test acc: 0.897083, test avg acc: 0.858640
Train 73, loss: 1.467752, train acc: 0.932003, train avg acc: 0.896667
Test 73, loss: 1.540632, test acc: 0.905186, test avg acc: 0.869221
Train 74, loss: 1.463350, train acc: 0.928848, train avg acc: 0.892633
Test 74, loss: 1.537007, test acc: 0.898703, test avg acc: 0.851645
Train 75, loss: 1.459985, train acc: 0.936787, train avg acc: 0.902831
Test 75, loss: 1.572608, test acc: 0.890600, test avg acc: 0.863279
Train 76, loss: 1.463747, train acc: 0.928237, train avg acc: 0.891737
Test 76, loss: 1.577721, test acc: 0.887763, test avg acc: 0.847628
Train 77, loss: 1.458558, train acc: 0.932105, train avg acc: 0.897418
Test 77, loss: 1.577226, test acc: 0.886548, test avg acc: 0.859006
Train 78, loss: 1.462082, train acc: 0.930782, train avg acc: 0.896419
Test 78, loss: 1.638692, test acc: 0.867909, test avg acc: 0.830477
Train 79, loss: 1.460710, train acc: 0.929967, train avg acc: 0.893937
Test 79, loss: 1.573888, test acc: 0.885737, test avg acc: 0.836797
Train 80, loss: 1.461838, train acc: 0.930375, train avg acc: 0.894111
Test 80, loss: 1.565906, test acc: 0.888169, test avg acc: 0.866058
Train 81, loss: 1.455737, train acc: 0.931800, train avg acc: 0.896889
Test 81, loss: 1.561861, test acc: 0.892626, test avg acc: 0.858052
Train 82, loss: 1.452319, train acc: 0.935973, train avg acc: 0.903559
Test 82, loss: 1.558905, test acc: 0.889384, test avg acc: 0.859634
Train 83, loss: 1.451873, train acc: 0.935464, train avg acc: 0.901225
Test 83, loss: 1.640390, test acc: 0.856564, test avg acc: 0.843029
Train 84, loss: 1.450908, train acc: 0.938518, train avg acc: 0.904963
Test 84, loss: 1.552738, test acc: 0.892626, test avg acc: 0.844267
Train 85, loss: 1.455628, train acc: 0.933225, train avg acc: 0.897662
Test 85, loss: 1.549328, test acc: 0.891815, test avg acc: 0.860581
Train 86, loss: 1.451823, train acc: 0.938213, train avg acc: 0.905386
Test 86, loss: 1.568252, test acc: 0.883712, test avg acc: 0.862860
Train 87, loss: 1.451167, train acc: 0.932818, train avg acc: 0.895816
Test 87, loss: 1.572192, test acc: 0.894652, test avg acc: 0.862401
Train 88, loss: 1.449780, train acc: 0.936584, train avg acc: 0.903180
Test 88, loss: 1.543642, test acc: 0.901135, test avg acc: 0.860285
Train 89, loss: 1.446449, train acc: 0.936075, train avg acc: 0.903446
Test 89, loss: 1.555355, test acc: 0.899919, test avg acc: 0.839250
Train 90, loss: 1.452554, train acc: 0.935973, train avg acc: 0.900685
